"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z080","2019-10-01 00:00:00","298.000","204.000","0.300","21.300","0.990","964.500","","59.500","-99.000","-99.000","-99.000","23.800","","20.700",""
"C0U770","2019-10-01 00:00:00","5.000","285.000","3.100","23.600","0.860","997.700","","149.000","-99.000","-99.000","-99.000","28.000","","23.000",""
"C0X190","2019-10-01 00:00:00","10.000","356.000","5.100","25.800","0.990","1001.600","","1.000","11.300","349.000","","30.600","","24.600",""
"C0Z210","2019-10-01 00:00:00","126.000","158.000","1.100","22.300","0.990","984.900","","91.000","-99.000","-99.000","-99.000","25.700","","21.700",""
"C0V690","2019-10-01 00:00:00","30.000","335.000","4.000","25.200","0.910","1000.000","","0.000","-99.000","-99.000","-99.000","30.000","","25.200",""
"C0M690","2019-10-01 00:00:00","33.000","2.000","5.100","25.200","0.840","998.600","","0.000","-99.000","-99.000","-99.000","31.000","","24.600",""
"C0F970","2019-10-01 00:00:00","145.000","357.000","3.800","23.600","0.850","985.000","","1.500","-99.000","-99.000","-99.000","30.800","","23.400",""
"C0C490","2019-10-01 00:00:00","157.000","308.000","6.700","22.600","0.990","982.700","","67.500","12.100","294.000","","26.500","","22.600",""
"C0X160","2019-10-01 00:00:00","26.000","334.000","4.200","25.600","0.880","1000.200","","0.500","-99.000","-99.000","-99.000","31.400","","25.000",""
"C0S760","2019-10-01 00:00:00","1621.000","343.000","2.600","19.300","0.690","829.000","","23.000","-99.000","-99.000","-99.000","20.900","","15.100",""
"C0O830","2019-10-01 00:00:00","127.000","333.000","2.300","24.400","0.920","988.400","","0.000","-99.000","-99.000","-99.000","31.100","","23.700",""
"C0A9A0","2019-10-01 00:00:00","24.000","279.000","4.700","23.700","0.970","993.900","","86.500","12.100","250.000","","27.300","","23.400",""
"C0AD50","2019-10-01 00:00:00","84.000","283.000","5.700","23.200","1.000","991.000","","63.000","14.800","283.000","","27.000","","23.200",""
"C0G620","2019-10-01 00:00:00","110.000","1.000","3.000","23.800","0.940","990.400","","0.000","8.500","347.000","","30.700","","23.600",""
"C0V310","2019-10-01 00:00:00","46.000","97.000","1.800","25.600","0.790","995.300","","0.000","-99.000","-99.000","-99.000","30.500","","24.400",""
"C0X110","2019-10-01 00:00:00","20.000","6.000","4.900","26.100","0.910","1000.900","","1.000","10.500","2.000","","31.400","","25.000",""
"C0S980","2019-10-01 00:00:00","901.000","264.000","4.600","21.700","0.890","899.700","","11.000","-99.000","-99.000","-99.000","23.800","","18.800",""
"C0R640","2019-10-01 00:00:00","21.000","339.000","8.000","26.500","0.840","1000.000","","0.000","-99.000","-99.000","-99.000","29.200","","26.400",""
"C0E810","2019-10-01 00:00:00","53.000","37.000","2.600","22.900","0.990","997.000","","5.500","8.300","34.000","","27.900","","22.800",""
"C0G830","2019-10-01 00:00:00","27.000","4.000","6.500","25.000","1.000","998.200","","0.000","11.700","10.000","","30.400","","24.200",""
"C0A550","2019-10-01 00:00:00","422.000","280.000","1.500","21.300","1.000","949.300","","254.500","8.200","247.000","","23.800","","20.700",""
"C0G750","2019-10-01 00:00:00","31.000","309.000","2.400","25.400","0.830","1000.200","","1.000","10.800","3.000","","30.200","","24.400",""
"C0Z270","2019-10-01 00:00:00","343.000","239.000","1.400","22.500","0.950","960.400","","57.000","-99.000","-99.000","-99.000","24.900","","21.100",""
"C0UA30","2019-10-01 00:00:00","1397.000","319.000","0.600","18.000","0.950","851.400","","236.000","-99.000","-99.000","-99.000","18.800","","16.100",""
"C0I080","2019-10-01 00:00:00","536.000","0.000","0.000","21.400","0.970","945.900","","7.000","-99.000","-99.000","-99.000","24.000","","20.700",""
"C0UA00","2019-10-01 00:00:00","392.000","196.000","0.600","21.500","0.990","956.800","","303.000","-99.000","-99.000","-99.000","22.800","","21.000",""
"C0AD40","2019-10-01 00:00:00","32.000","250.000","2.400","23.700","0.920","995.900","","63.000","-99.000","-99.000","-99.000","26.800","","23.400",""
"C0S660","2019-10-01 00:00:00","794.000","222.000","1.100","17.900","0.970","913.900","","32.500","-99.000","-99.000","-99.000","21.500","","17.900",""
"C0M640","2019-10-01 00:00:00","155.000","1.000","2.200","23.400","0.990","985.600","","4.500","-99.000","-99.000","-99.000","29.400","","23.300",""
"C0R660","2019-10-01 00:00:00","20.000","61.000","4.800","26.300","-99.000","999.900","","0.000","-99.000","-99.000","-99.000","28.600","","25.500",""
"C0UA10","2019-10-01 00:00:00","1711.000","112.000","1.100","15.000","1.000","822.700","","250.500","-99.000","-99.000","-99.000","16.600","","14.500",""
"C0V770","2019-10-01 00:00:00","26.000","334.000","2.700","24.700","0.990","999.300","","0.000","7.900","318.000","","30.100","","24.700",""
"C0E730","2019-10-01 00:00:00","26.000","26.000","1.000","23.800","0.920","998.900","","13.500","-99.000","-99.000","-99.000","28.000","","23.100",""
"C0V810","2019-10-01 00:00:00","32.000","319.000","7.500","24.700","1.000","997.600","","0.000","13.600","331.000","","29.900","","24.600",""
"C0A9C0","2019-10-01 00:00:00","35.000","316.000","4.100","24.000","0.900","992.200","","145.000","10.700","320.000","","27.600","","23.500",""
"C0X310","2019-10-01 00:00:00","9.000","349.000","14.400","26.200","0.810","1003.400","","1.500","-99.000","-99.000","-99.000","29.100","","24.700",""
"C0K280","2019-10-01 00:00:00","23.000","11.000","6.300","25.600","0.830","1002.800","","2.000","12.600","3.000","","32.900","","24.300",""
"C0M650","2019-10-01 00:00:00","20.000","354.000","6.100","25.800","0.790","1001.500","","0.000","13.200","5.000","","31.400","","24.800",""
"C0S910","2019-10-01 00:00:00","212.000","265.000","7.000","25.300","0.990","976.400","","17.000","17.100","276.000","","26.200","","22.500",""
"C0D570","2019-10-01 00:00:00","15.000","12.000","1.700","23.700","1.000","1001.300","","29.500","-99.000","-99.000","-99.000","27.700","","23.300",""
"C0M710","2019-10-01 00:00:00","15.000","354.000","8.500","25.900","0.810","1002.000","","4.000","15.300","3.000","","30.400","","24.500",""
"C0V490","2019-10-01 00:00:00","20.000","356.000","2.800","25.100","0.940","1000.400","","0.000","9.500","360.000","","30.500","","25.100",""
"C0E870","2019-10-01 00:00:00","34.000","43.000","2.000","23.900","0.960","1000.700","","17.500","-99.000","-99.000","-99.000","28.400","","23.600",""
"C0M800","2019-10-01 00:00:00","440.000","355.000","0.300","21.900","0.970","954.100","","4.500","-99.000","-99.000","-99.000","26.600","","21.100",""
"C0A570","2019-10-01 00:00:00","360.000","238.000","5.400","21.200","0.990","959.000","","159.500","11.500","231.000","","24.800","","21.100",""
